case_id,act_name,section_no_title,section_title,legal_text,case_type,case_facts,case_summary,petitioner,respondent,court_name,judge_name,filing_date,judgment_date,outcome,judgment_reason,citation,state,police_station_or_forum,advocate_name
INDLAW-1400,Indian Penal Code (IPC),Section 302 - Murder,Murder,Synthetic summary of Section 302 - Murder. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Repudiandae voluptas aliquid nam.,"This case concerns Section 302 - Murder under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Daksha Dara,Advaith Vala,"District Court, Chennai",Harish Chadha,2021-10-05,2026-03-13,Pending,electronic evidence accepted,748 AIR 2022 727,Telangana,Local Police Station,Ronith Swaminathan
INDLAW-1401,"Consumer Protection Act, 2019",Section 82 - Punishment for false or misleading advertisement,Punishment for false or misleading advertisement,Synthetic summary of Section 82 - Punishment for false or misleading advertisement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Repellendus expedita et laborum impedit tempore velit. Assumenda reiciendis ullam quo magnam.,"This case concerns Section 82 - Punishment for false or misleading advertisement under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Inaya Shere,Kevin Bhandari,"District Court, Chennai",Robert Randhawa,2025-04-04,2025-06-21,Acquitted,bail granted on conditions,281 AIR 2021 77,Maharashtra,Cyber Cell,Sachi Nadkarni
INDLAW-1402,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Voluptatibus expedita veritatis amet consectetur occaecati. Temporibus saepe asperiores. Corporis aperiam amet labore consectetur aspernatur tempora fugiat.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Chandresh Vig,Madhav Garde,Supreme Court of India,Samarth Lad,2024-04-24,2025-08-08,Settled,consumer deficiency proved,669 AIR 2008 134,Maharashtra,Local Police Station,Jeremiah Kuruvilla
INDLAW-1403,Constitution of India,Article 14 - Equality before law,Equality before law,Synthetic summary of Article 14 - Equality before law. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Modi facilis beatae asperiores recusandae. Suscipit odit magnam laborum a unde veniam.,"This case concerns Article 14 - Equality before law under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Chaaya Char,Jacob Soni,Cyber Crime Court,Siya Brar,2021-08-20,2026-02-15,Partly Allowed,lack of evidence,257 AIR 2010 612,Tamil Nadu,GST Intelligence Unit,Hemal Kant
INDLAW-1404,Constitution of India,Article 32 - Constitutional remedies,Constitutional remedies,Synthetic summary of Article 32 - Constitutional remedies. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Asperiores quo tenetur repellat assumenda amet. Ad molestiae dolorem dolorem facere.,"This case concerns Article 32 - Constitutional remedies under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Bina Agrawal,Ojasvi Pathak,High Court of Madras,Adya Prashad,2019-02-05,2025-10-17,Remanded,electronic evidence accepted,288 AIR 2016 70,Maharashtra,Labour Commissioner Office,Arin Dalal
INDLAW-1405,"Consumer Protection Act, 2019",Section 82 - Punishment for false or misleading advertisement,Punishment for false or misleading advertisement,Synthetic summary of Section 82 - Punishment for false or misleading advertisement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Nemo occaecati tempora ipsum. Doloremque quis odio tempore quibusdam. Tempora unde porro iste voluptatum.,"This case concerns Section 82 - Punishment for false or misleading advertisement under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Vedika Basak,Ekaja Rattan,High Court of Madras,Siddharth Grewal,2022-05-24,2025-06-03,Remanded,electronic evidence accepted,318 AIR 2021 340,Telangana,Consumer Forum,Imaran Dora
INDLAW-1406,Constitution of India,Article 19 - Freedom of speech and expression,Freedom of speech and expression,Synthetic summary of Article 19 - Freedom of speech and expression. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Adipisci eveniet aut. Natus repellat dolore optio architecto nisi et. Doloribus animi consequuntur quasi a. Officia fuga dolor enim.,"This case concerns Article 19 - Freedom of speech and expression under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Chaitanya Chaudhry,Nikita Sama,Supreme Court of India,Aachal Kara,2022-06-13,2026-02-15,Dismissed,tax demand confirmed,556 AIR 2007 927,Karnataka,Central Crime Branch,Sarthak Ganesh
INDLAW-1407,"Indian Evidence Act, 1872",Section 45 - Opinions of experts,Opinions of experts,Synthetic summary of Section 45 - Opinions of experts. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Perferendis aspernatur officia a maiores ea vero. Odio enim harum rem ducimus. Odit magni at nulla consequatur ex doloribus.,"This case concerns Section 45 - Opinions of experts under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Chatura Jayaraman,Wridesh Ahluwalia,"Labour Court, Chennai",Aarav Uppal,2025-05-11,2025-08-25,Acquitted,consumer deficiency proved,125 AIR 2016 842,Telangana,Local Police Station,Ayaan Khurana
INDLAW-1408,"Consumer Protection Act, 2019",Section 38 - Procedure on admission of complaint,Procedure on admission of complaint,Synthetic summary of Section 38 - Procedure on admission of complaint. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Sunt similique nesciunt distinctio sed necessitatibus. Temporibus asperiores in beatae magnam. Dolor aliquam nam ducimus. Qui illum tempora debitis explicabo.,"This case concerns Section 38 - Procedure on admission of complaint under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Jagat Setty,Tripti Bahl,Supreme Court of India,Parth Gara,2024-11-26,2025-10-15,Acquitted,electronic evidence accepted,428 AIR 2016 85,Delhi,Cyber Cell,Victor Nagy
INDLAW-1409,"Consumer Protection Act, 2019",Section 82 - Punishment for false or misleading advertisement,Punishment for false or misleading advertisement,Synthetic summary of Section 82 - Punishment for false or misleading advertisement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Maxime explicabo aspernatur quaerat quisquam iure. Iure placeat veritatis ipsum mollitia odio dolorum cupiditate.,"This case concerns Section 82 - Punishment for false or misleading advertisement under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Dayamai Tripathi,Ubika Thakur,High Court of Madras,Yashica Arora,2020-08-14,2026-02-26,Convicted,electronic evidence accepted,985 AIR 2021 435,Delhi,Cyber Cell,Amrita Iyengar
INDLAW-1410,"Consumer Protection Act, 2019",Section 38 - Procedure on admission of complaint,Procedure on admission of complaint,Synthetic summary of Section 38 - Procedure on admission of complaint. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Quod ipsam reprehenderit unde quidem. Non unde occaecati doloribus accusantium. Aut reprehenderit corrupti accusamus dolores dolorem provident quos.,"This case concerns Section 38 - Procedure on admission of complaint under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Unni Mitter,Finn Ganesan,High Court of Delhi,Amara Talwar,2020-11-11,2025-11-13,Allowed,bail granted on conditions,834 AIR 2010 39,Delhi,Central Crime Branch,Daksha Thakur
INDLAW-1411,Indian Penal Code (IPC),Section 379 - Theft,Theft,Synthetic summary of Section 379 - Theft. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Accusantium quaerat voluptatibus animi culpa. Dolorum praesentium perspiciatis iste labore nobis.,"This case concerns Section 379 - Theft under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Nakul Sahota,Watika Keer,High Court of Madras,Ishita Ramaswamy,2019-02-20,2025-10-24,Convicted,consumer deficiency proved,517 AIR 2012 462,West Bengal,Labour Commissioner Office,Nimrat Kurian
INDLAW-1412,"Indian Evidence Act, 1872",Section 24 - Confession caused by inducement,Confession caused by inducement,Synthetic summary of Section 24 - Confession caused by inducement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Quo possimus maxime illo nam ipsam. Magnam culpa est. Nobis accusantium possimus animi optio harum.,"This case concerns Section 24 - Confession caused by inducement under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Guneet Kothari,Rajata Tailor,High Court of Madras,Ekapad Rajagopal,2024-01-27,2025-07-04,Allowed,procedural violation,874 AIR 2023 600,Tamil Nadu,GST Intelligence Unit,Chaitaly Vohra
INDLAW-1413,Code of Criminal Procedure (CrPC),Section 154 - Information in cognizable cases,Information in cognizable cases,Synthetic summary of Section 154 - Information in cognizable cases. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Ipsam sunt nesciunt commodi adipisci. Autem quidem quia porro recusandae officiis ea. Tempore deserunt asperiores voluptates maxime.,"This case concerns Section 154 - Information in cognizable cases under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Elijah Vig,Bakhshi Krishna,"District Court, Mumbai",Nandini Doctor,2021-11-13,2025-11-28,Acquitted,procedural violation,388 AIR 2024 949,Gujarat,Labour Commissioner Office,Eesha Dhaliwal
INDLAW-1414,GST Act,Section 16 - Eligibility for input tax credit,Eligibility for input tax credit,Synthetic summary of Section 16 - Eligibility for input tax credit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Aspernatur doloremque dolorem aut quaerat. Excepturi quis aut nobis inventore tenetur magni. Molestiae saepe modi fuga modi dolores.,"This case concerns Section 16 - Eligibility for input tax credit under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Quincy Sastry,Megha Bali,High Court of Delhi,Hemang Ratta,2022-08-23,2026-01-22,Convicted,constitutional remedy granted,864 AIR 2012 816,Kerala,GST Intelligence Unit,Maanas Jayaraman
INDLAW-1415,Code of Civil Procedure (CPC),Order 39 Rule 1 - Temporary injunction,Temporary injunction,Synthetic summary of Order 39 Rule 1 - Temporary injunction. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Omnis odio nostrum.,"This case concerns Order 39 Rule 1 - Temporary injunction under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Dayita Shere,Samuel Dubey,Supreme Court of India,Michael Issac,2022-07-08,2025-12-13,Partly Allowed,procedural violation,142 AIR 2000 587,West Bengal,Local Police Station,Tamanna Narasimhan
INDLAW-1416,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Magnam voluptatibus autem delectus ab assumenda. Ratione natus eius vel velit. Repellendus et voluptates eligendi.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Daksha Prabhakar,Pranit Chandran,"District Court, Chennai",Gagan Pant,2019-03-19,2025-10-05,Remanded,electronic evidence accepted,522 AIR 2020 872,Maharashtra,Cyber Cell,Gauri Barman
INDLAW-1417,Code of Civil Procedure (CPC),Order 7 Rule 11 - Rejection of plaint,Rejection of plaint,Synthetic summary of Order 7 Rule 11 - Rejection of plaint. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Error laudantium maiores velit culpa sit corporis. Facere maxime mollitia sint. Perferendis esse recusandae.,"This case concerns Order 7 Rule 11 - Rejection of plaint under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Meera Minhas,Yashawini Sane,"District Court, Chennai",Ganga Nanda,2023-03-26,2025-12-16,Dismissed,constitutional remedy granted,787 AIR 2025 581,Tamil Nadu,Local Police Station,Leena Kashyap
INDLAW-1418,Labour Laws,Employees' Provident Funds Act - Contribution provisions,Contribution provisions,Synthetic summary of Employees' Provident Funds Act - Contribution provisions. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Tenetur ex eligendi corporis incidunt. Earum in quaerat molestias accusantium similique repellat. Aperiam ea excepturi at. Magni quisquam odio expedita dolor commodi deleniti.,"This case concerns Employees' Provident Funds Act - Contribution provisions under the Labour Laws, involving allegations reviewed by the court based on submitted facts and records.",Vidhi Balakrishnan,Luke Hora,"District Court, Mumbai",Zaitra Kalita,2020-11-07,2026-01-09,Dismissed,consumer deficiency proved,200 AIR 2006 744,Gujarat,Consumer Forum,Qasim Agrawal
INDLAW-1419,"Indian Evidence Act, 1872",Section 27 - Discovery statement,Discovery statement,Synthetic summary of Section 27 - Discovery statement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Ea quo impedit perferendis iure quidem ad. Odio temporibus dolorem veniam ad laboriosam distinctio similique.,"This case concerns Section 27 - Discovery statement under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Ekaja Bera,Chanakya Anne,High Court of Madras,Yashvi Chakraborty,2022-02-21,2025-06-06,Acquitted,procedural violation,298 AIR 2010 498,Gujarat,Consumer Forum,Chakradhar Jani
INDLAW-1420,Constitution of India,Article 226 - Power of High Courts to issue writs,Power of High Courts to issue writs,Synthetic summary of Article 226 - Power of High Courts to issue writs. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Eaque voluptatibus nisi tenetur facilis et quidem. Sunt nostrum quis alias ipsum sint. Soluta ipsa earum voluptatem totam cumque.,"This case concerns Article 226 - Power of High Courts to issue writs under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Qushi Bath,Upma Bala,Consumer Disputes Redressal Commission,Chanchal Mital,2022-01-15,2026-05-01,Remanded,labour benefit granted,272 AIR 2000 321,Karnataka,Cyber Cell,Anya Baria
INDLAW-1421,GST Act,Section 50 - Interest on delayed payment,Interest on delayed payment,Synthetic summary of Section 50 - Interest on delayed payment. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Sit aperiam itaque enim modi id quo. Minus distinctio veniam vitae.,"This case concerns Section 50 - Interest on delayed payment under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Aahana Merchant,Idika Sidhu,High Court of Delhi,Bachittar Gera,2024-05-20,2026-03-22,Remanded,bail granted on conditions,573 AIR 2014 368,Kerala,Labour Commissioner Office,Amara Wali
INDLAW-1422,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Voluptate nemo pariatur ut. Sint nulla veritatis optio sequi. Corrupti dicta quo mollitia in sint soluta.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Dhruv Keer,Ayush Contractor,High Court of Madras,Qushi Bala,2022-05-05,2025-07-01,Acquitted,constitutional remedy granted,651 AIR 2006 270,Delhi,GST Intelligence Unit,Zayyan Kadakia
INDLAW-1423,Code of Criminal Procedure (CrPC),Section 41 - Arrest without warrant,Arrest without warrant,Synthetic summary of Section 41 - Arrest without warrant. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Autem eius dolorum fuga earum possimus. Cupiditate aliquam quia cum ullam quaerat fugiat. Aut consequuntur quas porro earum aliquam.,"This case concerns Section 41 - Arrest without warrant under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Eesha Kumar,Elijah Oommen,"Labour Court, Chennai",Abhiram Deep,2021-02-11,2025-12-02,Convicted,lack of evidence,664 AIR 2008 557,Gujarat,GST Intelligence Unit,Arjun Kari
INDLAW-1424,Code of Civil Procedure (CPC),Order 39 Rule 1 - Temporary injunction,Temporary injunction,Synthetic summary of Order 39 Rule 1 - Temporary injunction. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Rem cupiditate nobis modi. Consectetur dolorem tempora quam architecto quod. Debitis nesciunt hic architecto repellendus facilis repellendus.,"This case concerns Order 39 Rule 1 - Temporary injunction under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Pranav Kunda,Shaurya Contractor,"District Court, Chennai",Charita Agrawal,2023-04-17,2025-08-04,Acquitted,constitutional remedy granted,575 AIR 2016 523,Delhi,Labour Commissioner Office,Harish Pingle
INDLAW-1425,"Indian Evidence Act, 1872",Section 65B - Electronic records,Electronic records,Synthetic summary of Section 65B - Electronic records. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Saepe beatae nam odio. Odit sit ad perferendis aut culpa alias ea.,"This case concerns Section 65B - Electronic records under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Upkaar Swamy,Qushi De,"District Court, Chennai",Rachana Borah,2020-03-22,2025-06-25,Partly Allowed,constitutional remedy granted,556 AIR 2005 184,Maharashtra,GST Intelligence Unit,Jatin Divan
INDLAW-1426,Labour Laws,Industrial Disputes Act - Reference of disputes,Reference of disputes,Synthetic summary of Industrial Disputes Act - Reference of disputes. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Eligendi unde cupiditate iste. Eos quae ipsam inventore sit illo.,"This case concerns Industrial Disputes Act - Reference of disputes under the Labour Laws, involving allegations reviewed by the court based on submitted facts and records.",Fiyaz Rege,Ekbal Sheth,"District Court, Chennai",Elijah Ganesh,2021-01-13,2025-11-26,Pending,electronic evidence accepted,164 AIR 2008 379,Karnataka,Central Crime Branch,Shivansh Dhillon
INDLAW-1427,"Information Technology Act, 2000",Section 67 - Publishing obscene material in electronic form,Publishing obscene material in electronic form,Synthetic summary of Section 67 - Publishing obscene material in electronic form. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Adipisci id pariatur assumenda aut ipsa. Odio et quo facere.,"This case concerns Section 67 - Publishing obscene material in electronic form under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Unnati Butala,Samarth Chana,"Labour Court, Chennai",Jagat Anand,2019-08-18,2025-12-06,Pending,bail granted on conditions,147 AIR 2001 665,Telangana,Central Crime Branch,Dayita Koshy
INDLAW-1428,"Consumer Protection Act, 2019",Section 35 - Complaint before District Commission,Complaint before District Commission,Synthetic summary of Section 35 - Complaint before District Commission. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Doloremque similique perferendis esse voluptate deserunt. Voluptate eaque consequatur dolor impedit. Natus cupiditate dolore accusantium.,"This case concerns Section 35 - Complaint before District Commission under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Omkaar Bhatt,Zashil Madan,High Court of Delhi,Amaira Patel,2021-06-22,2025-09-28,Settled,labour benefit granted,474 AIR 2018 670,Delhi,Local Police Station,Tripti Dhawan
INDLAW-1429,Constitution of India,Article 32 - Constitutional remedies,Constitutional remedies,Synthetic summary of Article 32 - Constitutional remedies. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Aliquam ex perspiciatis.,"This case concerns Article 32 - Constitutional remedies under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Radhika Sant,Advik Uppal,"Labour Court, Chennai",Elijah Kota,2021-03-07,2026-03-25,Remanded,tax demand confirmed,598 AIR 2025 494,Tamil Nadu,Local Police Station,Libni Garg
INDLAW-1430,Code of Civil Procedure (CPC),Section 10 - Stay of suit,Stay of suit,Synthetic summary of Section 10 - Stay of suit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Recusandae consectetur sed quidem occaecati commodi maiores. Officia quas saepe tenetur suscipit tempora cum. Nemo nobis accusamus quia.,"This case concerns Section 10 - Stay of suit under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Saanvi Karpe,Advik Mahajan,"District Court, Chennai",Radha Iyer,2019-02-15,2025-09-12,Dismissed,consumer deficiency proved,316 AIR 2004 192,Maharashtra,Consumer Forum,Daksh Varughese
INDLAW-1431,Code of Criminal Procedure (CrPC),Section 125 - Maintenance,Maintenance,Synthetic summary of Section 125 - Maintenance. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Autem tempore maxime iure omnis culpa culpa. Sapiente quidem aperiam quae iste cum quisquam. Necessitatibus voluptas deleniti quaerat veniam. Ipsum impedit voluptate voluptates totam quidem perspiciatis.,"This case concerns Section 125 - Maintenance under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Mitesh Prabhu,Kala Chatterjee,Consumer Disputes Redressal Commission,Warinder Sekhon,2020-06-27,2025-08-29,Dismissed,bail granted on conditions,791 AIR 2015 491,Karnataka,Local Police Station,Chandresh Dhawan
INDLAW-1432,Code of Civil Procedure (CPC),Section 10 - Stay of suit,Stay of suit,Synthetic summary of Section 10 - Stay of suit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Dolorum explicabo impedit occaecati. Quisquam alias explicabo reprehenderit. Dolores beatae doloribus eum tempore culpa nisi.,"This case concerns Section 10 - Stay of suit under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Raagini Tak,Charles Kaul,"District Court, Chennai",Fiyaz Ghose,2021-10-29,2025-09-05,Allowed,constitutional remedy granted,687 AIR 2018 165,Maharashtra,GST Intelligence Unit,Chaitanya Bandi
INDLAW-1433,"Consumer Protection Act, 2019",Section 2(7) - Consumer definition,Consumer definition,Synthetic summary of Section 2(7) - Consumer definition. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Magnam laboriosam provident laudantium. Iusto eligendi ea nemo ipsa provident qui.,"This case concerns Section 2(7) - Consumer definition under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Shravya Malhotra,Aarnav Ben,Supreme Court of India,Amruta Yohannan,2023-03-28,2026-03-01,Partly Allowed,consumer deficiency proved,284 AIR 2016 982,West Bengal,Local Police Station,Rajata Grewal
INDLAW-1434,Indian Penal Code (IPC),Section 420 - Cheating,Cheating,Synthetic summary of Section 420 - Cheating. This entry is generated for academic and project use only and does not reproduce official statutory text.,Civil Suit,Omnis tenetur magnam ex. Ipsam cumque provident doloribus cumque culpa. Quia nobis nihil voluptatem minus quaerat.,"This case concerns Section 420 - Cheating under the Indian Penal Code (IPC), involving allegations reviewed by the court based on submitted facts and records.",Rishi Shan,Gauri Dave,"District Court, Chennai",Frederick Pandit,2021-12-25,2025-05-25,Pending,bail granted on conditions,988 AIR 2015 175,Karnataka,Labour Commissioner Office,Charita Oommen
INDLAW-1435,Code of Civil Procedure (CPC),Section 11 - Res judicata,Res judicata,Synthetic summary of Section 11 - Res judicata. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Qui sapiente in ipsam consectetur sed. Officiis odio quaerat doloribus placeat eaque aliquam expedita. Possimus quo velit quia sit dignissimos dignissimos. Rem illum expedita.,"This case concerns Section 11 - Res judicata under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Upkaar Butala,Lakshit Karnik,"District Court, Mumbai",Hredhaan Bhagat,2022-01-22,2026-01-21,Partly Allowed,tax demand confirmed,564 AIR 2019 605,Delhi,Cyber Cell,Varsha Hayer
INDLAW-1436,GST Act,Section 54 - Refund of tax,Refund of tax,Synthetic summary of Section 54 - Refund of tax. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Corrupti culpa deleniti aperiam. Deserunt harum eum quas id. Corporis cupiditate quasi ea occaecati in aliquam.,"This case concerns Section 54 - Refund of tax under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Edhitha Wason,Vansha Bala,High Court of Madras,Praneel Bahl,2022-12-22,2026-02-12,Allowed,electronic evidence accepted,635 AIR 2016 701,West Bengal,Cyber Cell,Vrinda Narayanan
INDLAW-1437,Code of Criminal Procedure (CrPC),Section 125 - Maintenance,Maintenance,Synthetic summary of Section 125 - Maintenance. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,In voluptates aperiam odio. Vero odit itaque laudantium quae autem dolorum.,"This case concerns Section 125 - Maintenance under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Max Basak,Mohini Wali,Supreme Court of India,Imaran Amble,2018-08-25,2025-12-09,Dismissed,procedural violation,593 AIR 2021 134,Tamil Nadu,GST Intelligence Unit,Madhav Chand
INDLAW-1438,GST Act,Section 74 - Tax not paid or short paid by reason of fraud,Tax not paid or short paid by reason of fraud,Synthetic summary of Section 74 - Tax not paid or short paid by reason of fraud. This entry is generated for academic and project use only and does not reproduce official statutory text.,Labour Dispute,Aspernatur quis odio illo perspiciatis sit cum mollitia. Ducimus ab delectus labore inventore nihil. Totam rerum ullam.,"This case concerns Section 74 - Tax not paid or short paid by reason of fraud under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Yuvraj Grewal,Zinal Nayar,Consumer Disputes Redressal Commission,Karan Radhakrishnan,2020-12-14,2025-07-12,Allowed,labour benefit granted,334 AIR 2025 494,West Bengal,Consumer Forum,Vidhi Upadhyay
INDLAW-1439,Code of Criminal Procedure (CrPC),Section 167 - Procedure when investigation cannot be completed in 24 hours,Procedure when investigation cannot be completed in 24 hours,Synthetic summary of Section 167 - Procedure when investigation cannot be completed in 24 hours. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Numquam eos adipisci fugiat esse voluptatibus quod.,"This case concerns Section 167 - Procedure when investigation cannot be completed in 24 hours under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Irya Konda,Warinder Mistry,"District Court, Mumbai",Avni Kannan,2019-05-21,2026-03-27,Pending,electronic evidence accepted,979 AIR 2002 291,West Bengal,Consumer Forum,Faras Pandey
INDLAW-1440,"Information Technology Act, 2000",Section 43 - Penalty for damage to computer systems,Penalty for damage to computer systems,Synthetic summary of Section 43 - Penalty for damage to computer systems. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Dolorum provident non omnis molestias optio maxime. Excepturi cupiditate nisi quibusdam explicabo corrupti.,"This case concerns Section 43 - Penalty for damage to computer systems under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Warjas Jayaraman,Brinda Keer,High Court of Madras,Aarav Rajagopalan,2019-07-25,2026-01-14,Allowed,labour benefit granted,770 AIR 2006 705,Telangana,Labour Commissioner Office,Bachittar Wagle
INDLAW-1441,"Indian Evidence Act, 1872",Section 24 - Confession caused by inducement,Confession caused by inducement,Synthetic summary of Section 24 - Confession caused by inducement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Writ Petition,Consectetur ex natus. Accusantium ipsum nulla ut.,"This case concerns Section 24 - Confession caused by inducement under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Vamakshi Ghosh,Patrick Mitra,"Labour Court, Chennai",Qabil Chander,2023-03-27,2025-09-04,Acquitted,consumer deficiency proved,975 AIR 2017 434,Telangana,Local Police Station,Lakshmi Deshmukh
INDLAW-1442,Constitution of India,Article 32 - Constitutional remedies,Constitutional remedies,Synthetic summary of Article 32 - Constitutional remedies. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Quod eligendi ut placeat sit. Commodi quia quam suscipit. Ducimus tenetur nobis suscipit necessitatibus quam laborum laudantium.,"This case concerns Article 32 - Constitutional remedies under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Jonathan Gala,Amara Bhatt,"Labour Court, Chennai",Geetika Yogi,2022-11-28,2025-11-10,Pending,constitutional remedy granted,479 AIR 2017 569,Gujarat,Consumer Forum,Maanas Sule
